Essoil DB Correction needed	Multi CAIDs	caid	caname	unique/synonym	uactivityMatch	uactivity	caName and Synonyms	ActivityClass	(Phytomedicinal Activity) ActionType	Activity Description (AMBRISH: Please try to extract the activity descriptions into a new column/field. These need to be verified somehow)	Specific ActivityTarget	Reported Uses (Diseases, Symptoms, etc.)	MannyNotes_Compound Activity	Route of use: Topical Oral Uncertain Both	VC Product Class	VC Utitlity		caname
		165	Sedative	F				Mood Modulation / Stress Reducer	Sedative/Anxiolytic	Sedative/Anxiolytic | (Generic term) reduce or prevent anxiety: Having a soothing, calming, or tranquilizing effect; reducing or relieving stress, irritability, excitement, or anxiety.					REMOVE	Neutral		Sedative
		80	CNS-Depressant	S				Mood Modulation / Stress Reducer	Sedative/Anxiolytic (Antidepressant) | (Generic term)	Sedative/Anxiolytic (Antidepressant) | (Generic term): Antidepressant: A substance meant to oppose depression or sadness.					REMOVE	Neutral		CNS-Depressant
		170	Stimulant	F				Mood Modulation | Stimulant	Stimulant	Stimulates what??					RELIEVE			Stimulant
Separate conames		168	Spasmogenic, Tranquilizer	ME, S, F				Muscle Tension							RELIEVE	Neutral		Spasmogenic, Tranquilizer
								Muscular	Uterine Relaxant	An agent that relaxes the muscles in the uterus.					REMEDY	Neutral		
								Muscular	Uterine Stimulant	An agent that stimulates the uterus (and often employed during active childbirth).					REMEDY	Neutral		
		26	Anti-convulsant	F				Muscular | Muscle Relaxant	Anti-convulsant	Anticonvulsant: An agent that reduces or prevents convulsions (as in epilepsy)			Not sure Action Type is correct 		RELIEVE	Good		Anti-convulsant
								Muscular | Muscle Relaxant	Anti-Spasmotic	Muscle Relaxant (Smooth muscle relaxant) | Anti-Spasmotic | Spasmogenic Tranquilizer: A substance that relieves spasms or inhibits the contraction of smooth muscles.						Good		
		66	Anti-spasmodic	F				Muscular | Muscle Relaxant	Muscle Relaxant	Muscle Relaxant (Smooth muscle relaxant) | Anti-Spasmotic | Spasmogenic Tranquilizer: A substance that relieves spasms or inhibits the contraction of smooth muscles.					RELIEVE	Good		Anti-spasmodic
		144	Myorelaxant	F				Muscular | Muscle Relaxant	Myorelaxant	Muscle Relaxant | Myorelaxant: An agent, or drug, that reduces muscle contractility by blocking the transmission of nerve impulses or by decreasing the excitability of the motor end plate or by other actions					RELIEVE	Neutral		Myorelaxant
								Muscular | Muscle Relaxant	Spasmogenic Tranquilizer	Muscle Relaxant (Smooth muscle relaxant) | Anti-Spasmotic | Spasmogenic Tranquilizer: A substance that relieves spasms or inhibits the contraction of smooth muscles.						Good		
			Anti-glutamaergic	F				MuscularMuscular | Muscle Relaxant	Anti-glutamaergic	Muscle Relaxant | Anti-glutamaergic : An agent or drug that modulates the transmission of glutamate, or inhibits glutamate currents, for muscle relaxation, Anti-seizure, or neuroprotective effects. May be used for ALS.					RELIEVE	Neutral		Anti-glutamaergic
			Barbiturate-Synergist	F				Nervous System	Barbiturate-Synergist	A barbiturate is a drug that acts as a central nervous system depressant, and can therefore produce a wide range of effects, from mild sedation to death. A synergist is a substance, organ, or other agent that participates in an effect of synergy.					REMOVE	Neutral		Barbiturate-Synergist
			Barbiturate-Synergist	S				Nervous System	CNS-depressant	CNS-depressant: acts as a central nervous system depressant, and can therefore produce a wide range of effects, from mild sedation to death. A synergist is a substance, organ, or other agent that participates in an effect of synergy.					REMOVE	Neutral		Barbiturate-Synergist
		81	CNS-Stimulant	F				Nervous System	CNS-Stimulant	CNS-Stimulant					REMEDY	Neutral		CNS-Stimulant
		119	GABA-nergic	F				Nervous System	GABA-nergic | GABA Agonist	GABA-nergic | GABA Agonist: A GABA receptor agonist is a drug that is an agonist for one or more of the GABA receptors, producing typically sedative effects, and may also cause other effects such as anxiolytic, Anti-convulsant, and muscle relaxant effects. There are three receptors of the gamma-aminobutyric acid. The two receptors GABA-alpha and GABA-rho are ion channels that are permeable to chloride ions which reduces neuronal excitability. The GABA-beta receptor belongs to the class of G-Protein coupled receptors that inhibit adenylyl cyclase, therefore leading to decreased cyclic adenosine monophosphate (cAMP). GABA-alpha and GABA-rho receptors produce sedative and hypnotic effects and have Anti-convulsion properties. GABA-beta receptors also produce sedative effects. Furthermore, they lead to changes in gene transcription.	GABA (unspecified)		I'm guessing on the action type. See https://www.kumc.edu/AMA-MSS/Study/pharm1_table.htm		REMEDY	Neutral		GABA-nergic
			GABA-nergic	S				Nervous System	GABA-nergic | GABA Agonist | GABA-alpha	GABA-nergic | GABA Agonist | GABA-alpha: A GABA receptor agonist is a drug that is an agonist for one or more of the GABA receptors, producing typically sedative effects, and may also cause other effects such as anxiolytic, Anti-convulsant, and muscle relaxant effects. There are three receptors of the gamma-aminobutyric acid. The two receptors GABA-alpha and GABA-rho are ion channels that are permeable to chloride ions which reduces neuronal excitability. The GABA-beta receptor belongs to the class of G-Protein coupled receptors that inhibit adenylyl cyclase, therefore leading to decreased cyclic adenosine monophosphate (cAMP). GABA-alpha and GABA-rho receptors produce sedative and hypnotic effects and have Anti-convulsion properties. GABA-beta receptors also produce sedative effects. Furthermore, they lead to changes in gene transcription.	GABA-alpha		I'm guessing on the action type. See https://www.kumc.edu/AMA-MSS/Study/pharm1_table.htm		REMEDY	Neutral		GABA-nergic
			GABA-nergic	S				Nervous System	GABA-nergic | GABA Agonist | GABA-beta	GABA-nergic | GABA Agonist | GABA-beta: A GABA receptor agonist is a drug that is an agonist for one or more of the GABA receptors, producing typically sedative effects, and may also cause other effects such as anxiolytic, Anti-convulsant, and muscle relaxant effects. There are three receptors of the gamma-aminobutyric acid. The two receptors GABA-alpha and GABA-rho are ion channels that are permeable to chloride ions which reduces neuronal excitability. The GABA-beta receptor belongs to the class of G-Protein coupled receptors that inhibit adenylyl cyclase, therefore leading to decreased cyclic adenosine monophosphate (cAMP). GABA-alpha and GABA-rho receptors produce sedative and hypnotic effects and have Anti-convulsion properties. GABA-beta receptors also produce sedative effects. Furthermore, they lead to changes in gene transcription.	GABA-beta		I'm guessing on the action type. See https://www.kumc.edu/AMA-MSS/Study/pharm1_table.htm		REMEDY	Neutral		GABA-nergic
			GABA-nergic	S				Nervous System	GABA-nergic | GABA Agonist | GABA-rho	A GABA receptor agonist is a drug that is an agonist for one or more of the GABA receptors, producing typically sedative effects, and may also cause other effects such as anxiolytic, Anti-convulsant, and muscle relaxant effects. There are three receptors of the gamma-aminobutyric acid. The two receptors GABA-alpha and GABA-rho are ion channels that are permeable to chloride ions which reduces neuronal excitability. The GABA-beta receptor belongs to the class of G-Protein coupled receptors that inhibit adenylyl cyclase, therefore leading to decreased cyclic adenosine monophosphate (cAMP). GABA-alpha and GABA-rho receptors produce sedative and hypnotic effects and have Anti-convulsion properties. GABA-beta receptors also produce sedative effects. Furthermore, they lead to changes in gene transcription.	GABA-rho		I'm guessing on the action type. See https://www.kumc.edu/AMA-MSS/Study/pharm1_table.htm		REMEDY	Neutral		GABA-nergic
								Nervous System	Nervine (Generic term)	Nervine (Generic term): A substance that is tonic to or has a balancing effect on the nerves and/or central nervous system.			Mood Modulator?		REMEDY	Neutral		
								Nervous System	Neurasthenic (Generic term)	Neurasthenic (Generic term): A substance used to treat nerve pain and/or weakness. (i.e., neuralgia, sciatica, etc.) Neurasthenia: a condition that is characterized especially by physical and mental exhaustion usually with accompanying symptoms (such as headache and irritability), is of unknown cause but is often associated with depression or emotional stress, and is sometimes considered similar to or identical with chronic fatigue syndrome.					REMEDY	Neutral		
								Nervous System	Neuroprotective (Generic term)	Neuroprotective (Generic term) | Protects neurons from injury or degeneration: A substance that protects brain cells from damage, helps repair damaged brain cells, and/or balances brain chemicals. In herbal medicine, neuroprotective plants are also used for memory disorders.					REMEDY	Neutral		
Separate conames		1	ACE-Inhibitor, Acaricide, Aldose-Reductase Inhibitor, Anti-acetylcholinesterase, Anti-feedant, Anti-oxidant, Insectifuge Irritant, Perfumery, Pesticide	ME, S, S, S, S, S, S, S, S, S, S				Nervous System					Angiotensin Converting Enzyme inhibitor?? or is this AChE?? are 1 and 185 duplicates??add commas or bars to separate multiple answers in same field? what should this (â) character be?			Neutral		ACE-Inhibitor, Acaricide, Aldose-Reductase Inhibitor, Anti-acetylcholinesterase, Anti-feedant, Anti-oxidant, Insectifuge Irritant, Perfumery, Pesticide
		2	AChE-Inhibitor	F				Nervous System / Heart	Acetylcholine (AChE) inhibitor	Acetylcholine (AChE) inhibitor: prevent destruction of the neurotransmitter acetylcholine by the enzyme acetylcholinesterase within the nervous system. Acetylcholine acts to transmit nerve impulses within the parasympathetic nervous system—i.e., that part of the autonomic nervous system that tends to induce secretion, to contract smooth muscles, and to dilate blood vessels. In preventing the destruction of acetylcholine, Anti-cholinesterase permits high levels of this neurotransmitter to build up at the sites of its action, thus stimulating the parasympathetic nervous system and in turn slowing the heart action, lowering blood pressure, increasing secretion, and inducing contraction of the smooth muscles.	Acetylcholinesterase enzyme		2, 11, and 189 - I think this should be Anti-cholinesterase. Otherwise, this is a sub-set of Anti-cholinesterase		REMEDY	Neutral		AChE-Inhibitor
		11	Anti-acetylcholinesterase	S				Nervous System / Heart	Acetylcholine (AChE) promotor	Acetylcholine (AChE) promotor: prevent destruction of the neurotransmitter acetylcholine by the enzyme acetylcholinesterase within the nervous system. Acetylcholine acts to transmit nerve impulses within the parasympathetic nervous system—i.e., that part of the autonomic nervous system that tends to induce secretion, to contract smooth muscles, and to dilate blood vessels. In preventing the destruction of acetylcholine, Anti-cholinesterase permits high levels of this neurotransmitter to build up at the sites of its action, thus stimulating the parasympathetic nervous system and in turn slowing the heart action, lowering blood pressure, increasing secretion, and inducing contraction of the smooth muscles.	Acetylcholinesterase enzyme		2, 11, and 189 - I think this should be Anti-cholinesterase. Otherwise, this is a sub-set of Anti-cholinesterase		REMEDY	Neutral		Anti-acetylcholinesterase
		189	Anti-cholinesterase	F				Nervous System / Heart	Acetylcholine (AChE) promotor	Acetylcholine (AChE) promotor: prevent destruction of the neurotransmitter acetylcholine by the enzyme acetylcholinesterase within the nervous system. Acetylcholine acts to transmit nerve impulses within the parasympathetic nervous system—i.e., that part of the autonomic nervous system that tends to induce secretion, to contract smooth muscles, and to dilate blood vessels. In preventing the destruction of acetylcholine, Anti-cholinesterase permits high levels of this neurotransmitter to build up at the sites of its action, thus stimulating the parasympathetic nervous system and in turn slowing the heart action, lowering blood pressure, increasing secretion, and inducing contraction of the smooth muscles.	Acetylcholinesterase enzyme		2, 11, and 189 - I think this should be Anti-cholinesterase. Otherwise, this is a sub-set of Anti-cholinesterase		REMEDY	Neutral		Anti-cholinesterase
								Potency Enhancer | anti-allergenic properties	Enhances anti-allergenic properties	Enhances anti-allergenic properties					FORMULA	Good		
								Potency Enhancer | anti-bacterial properties	Enhances anti-bacterial properties	Enhances anti-bacterial properties					FORMULA	Good		
								Potency Enhancer | anti-fungal properties	Enhances anti-fungal properties	Enhances anti-fungal properties					FORMULA	Good		
								Potency Enhancer | anti-inflammatory properties	Enhances anti-inflammatory properties	Used to increase the potency of a compound or formula intended to reduce or inhibit inflammation: a local response to cellular injury that is marked by capillary dilatation, leukocytic infiltration, redness, heat, and pain and that serves as a mechanism initiating the elimination of noxious agents and of damaged tissue 					FORMULA	Good		
								Potency Enhancer | anti-oxidant properties		Enhances anti-oxidant properties					FORMULA	Good		
								Potency Enhancer | anti-viral drug potency		Enhances anti-viral drug potency					REMOVE	Good		
								Potency Enhancer | anti-viral properties		Enhances anti-viral properties					FORMULA	Good		
								Potency Enhancer | photoprotective properties		Enhances photoprotective properties					FORMULA	Good		
		208	Skin Penetration Enhancer	F				Potency Enhancer | skin penetration properties (Transdermal Permeability Coefficient)		Enhances skin penetration properties (Transdermal Permeability Coefficient)			Is this the same as transdermal? is there an explanation as is for lipid-anchor?		FORMULA	Good		Skin Penetration Enhancer
		107	Diuretic	F				Renal System	Diuretic	Diuretic | promotes urine secretion: Any substance that tends to increase the excretion and flow of urine, which causes the body to get rid of excess water.			ActivityClass?		REMEDY	Good		Diuretic
		169	Spermicide	F				Reproductive System	Spermicide	Spermicide: used to kill sperm	Sperm | Kills sperm				REMEDY	Good		Spermicide
		72	Anti-tussive	S				Respiratory	Anti-tussive	Anti-tussive (Cough Suppresant): A substance that depresses coughing					REMEDY	Good		Anti-tussive
								Respiratory	Bronchodilator	Bronchodilator | Relaxes and dilates the bronchial passageways: An agent that dilates or relaxes bronchial muscles.					REMEDY	Good		
		79	Bronchoprotectant	F				Respiratory	Bronchoprotectant	Bronchoprotectant | Protects bronchi/lungs: relating to protection of the bronchi or their ramifications in the lungs					REMEDY	Good		Bronchoprotectant
			Bronchorelaxant	F				Respiratory	Bronchorelaxant	Bronchorelaxant | Airway smooth muscle relaxation					REMEDY	Good		Bronchorelaxant
		101	Decongestant	F				Respiratory	Decongestant	Decongestant: relieves congestion (as of mucous membranes)					REMEDY	Good		Decongestant
		111	Expectorant	S				Respiratory	Expectorant	Expectorant : An agent that increases bronchial mucous secretion by promoting liquefaction of the sticky mucous and expelling it from the body. Promotes the discharge or expulsion of mucus from the respiratory tract					REMEDY	Good		Expectorant
			Respirastimulant	F				Respiratory	Respirastimulant	Respirastimulant | Stimulates Breathing					REMEDY	Good		Respirastimulant
		212	Vitamin A stabiliser	F				Shelf-life Enhancer	Vitamin A stabiliser				explain as use? Is Stabilizer a property that we can list separately?		FORMULA	Good		Vitamin A stabiliser
								Shelf-life Enhancer | Anti-spoilage	Anti-spoilage | (Generic term)	Anti-spoilage | (Generic term)					FORMULA	Good		
		63	Anti-septic	S				Shelf-life Enhancer | Anti-spoilage	Antiseptic	Anti-spoilage | Antiseptic: a substance that inhibits the growth or action of microorganisms especially in or on living tissue clean the wound with an antiseptic also : germicide.					FORMULA	Good		Anti-septic
								Wound Healing	Cytokine TH2 Inhibitor	Wound Healing | INHIBITS Cytokine TH2 | Immune modulator for leukocytes, tissue growth factor for wound healing): Th2 — T helper type 2 (Th2) cells produce IL-4, IL-5, IL-13, and IL-10 but not IL-2 or IFN-gamma. By virtue of their IL-4 and IL-13 secretion, they are important in the promotion of immunoglobulin E (IgE) synthesis and via IL-5 stimulate eosinophil development. They help mediate immunity against parasitic infestations, particularly helminths, and are pivotal in the development of allergy and asthma [18-20].	TH2				RESTORE	Good		
		10	Anti-TNF (Tumor Necrosis Factor)	S				Wound Healing | Angiogenesis	TNF (Tumor Necrosis Factor) inhibitor	INHIBITS TNF (Tumor Necrosis Factor): TNF inhibitors are drugs that help stop inflammation. They're used to treat diseases like rheumatoid arthritis (RA), juvenile arthritis, psoriatic arthritis, plaque psoriasis, ankylosing spondylitis, ulcerative colitis (UC), and Crohn's disease. They're also called TNF blockers, biologic therapies, or Anti-TNF drugs. Potent proinflammatory and immunoregulatory mediator, stimulates endothelial cell activation and angiogenesis. IL-1 and TNF-alpha share many activities, including the ability to enhance cytokine production, adhesion molecule expression, proliferation					REMOVE / RENEW	Good		Anti-TNF (Tumor Necrosis Factor)
			Anti-fibrositic	F				Wound Healing | Anti-fibrocitic / Anti-Scarring	Anti-fibrositic	Anti-fibrositic: An agent, such as an anti-inflammatory agent, that relieves inflammation, degeneration, or metabolic derangement of connective tissue structures (especially joints and related structures).	relieves inflammation, degeneration, or metabolic derangement of connective tissue structures (especially joints and related structures).				/REPAIR	Good		Anti-fibrositic
		184	Vulnerary	F				Wound Healing | Vulnerary	Vulnerary	Vulnerary | Wound healing promotor: A substance used to heal wounds and promote tissue formation.					RESTORE	Good		Vulnerary
Separate conames		185	ACE-inhibitor, Acaricide Aldose-Reductase-Inhibitor - Anti-acetylcholinesterase, Anti-feedant Anti-oxidant, Insectifuge, Irritant, Perfumery, Pesticide	ME, S, S, S, S, S, S, S, S, S, S									Angiotensin Converting Enzyme inhibitor?? or is this AChE?? are 1 and 185 duplicates??add commas or bars to separate multiple answers in same field? what should this (â) character be?					ACE-inhibitor, Acaricide Aldose-Reductase-Inhibitor - Anti-acetylcholinesterase, Anti-feedant Anti-oxidant, Insectifuge, Irritant, Perfumery, Pesticide
DATA ERROR		186	and L. chagasi promastigotes and L. amazonensis amastigotes	F									DATA ERROR: check uses of and these are protozoa, not activities. Why are these here?					and L. chagasi promastigotes and L. amazonensis amastigotes
Separate conames		13	Anti-acne, Anti-allergic	ME, S, S														Anti-acne, Anti-allergic
Separate conames		20	Anti-asthmatic, Anti-bacterial	ME, S, S												Good		Anti-asthmatic, Anti-bacterial
Separate conames		27	Anti-convulsant, Anti-edemic	ME, S, S														Anti-convulsant, Anti-edemic
Separate conames		28	Anti-diarrheic, Anti-dysenteric	ME, F, F														Anti-diarrheic, Anti-dysenteric
Separate conames		30	Anti-edemic, Anti-glutamaergic	ME, S, S														Anti-edemic, Anti-glutamaergic
Separate conames		34	Anti-fibrositic, Anti-neuralgic	ME, S, S														Anti-fibrositic, Anti-neuralgic
Separate conames		39	Anti-histaminic, Anti-septic	ME, S, S														Anti-histaminic, Anti-septic
Separate conames		41	Anti-inflammatory, Anti-lithic	ME, S, S														Anti-inflammatory, Anti-lithic
Separate conames		187	Anti-inflammatory, Anti-microbial	ME, S, S									replace and with comma?					Anti-inflammatory, Anti-microbial
Separate conames		44	Anti-leukemic, Anti-lymphomic	ME, S, S														Anti-leukemic, Anti-lymphomic
Separate conames		51	Anti-nitrosaminic, Anti-oxidant	ME, S, S									one thing or two?					Anti-nitrosaminic, Anti-oxidant
Separate conames		53	Anti-obesity, Anti-septic	ME, S, S														Anti-obesity, Anti-septic
Separate conames		55	Anti-oxidant, Anti-septic	ME, S, S														Anti-oxidant, Anti-septic
Separate conames		57	Anti-prostaglandin, Anti-pyretic	ME, S, S														Anti-prostaglandin, Anti-pyretic
Separate conames		64	Anti-septic, Anti-spasmodic	ME, S, S														Anti-septic, Anti-spasmodic
Separate conames		68	Anti-thromboxane, Anti-tumor	ME, S, S														Anti-thromboxane, Anti-tumor
Separate conames		73	Anti-ulcer, Bacteriostatic	ME, S, S														Anti-ulcer, Bacteriostatic
Separate conames		78	Barbiturate-Synergist, Bronchorelaxant	ME, S, S									Use brackets or hyphen? Barbiturate was mis-spelled. now fixed					Barbiturate-Synergist, Bronchorelaxant
Separate conames		87	Cancer-Preventive, Candidistat	ME, S, S														Cancer-Preventive, Candidistat
Separate conames		92	Carminative, Choleretic	ME, S, S									Why do some fields have multiple responses? Are they tied to a specific compound? If so, where is the cross-over table? There may be a better way to related these without putting multiple answers in the same field					Carminative, Choleretic
DATA ERROR		194	Chinese drug-moxa	F									DATA ERROR: What does this mean??					Chinese drug-moxa
Separate conames		105	Dermatitigenic, Enterorelaxant	ME, S, S									Enterorelaxant is not found in any medical dictionary					Dermatitigenic, Enterorelaxant
Separate conames		108	Ecbolic, Emetic	ME, F, S														Ecbolic, Emetic
Separate conames		109	Enterocontractant, Expectorant	ME, S, S														Enterocontractant, Expectorant
Separate conames		112	Flavor, Fungicide	ME, S, F														Flavor, Fungicide
Separate conames		113	Flavor, Herbicide	ME, S, S														Flavor, Herbicide
DATA ERROR		196	for preparation of vitamins E and K1	F									DATA ERROR					for preparation of vitamins E and K1
Separate conames		124	Herbicide, Histaminic	ME, S, S									Histaminic (triggers histamine pathway?)					Herbicide, Histaminic
Separate conames		125	Herbicide, Insect-Repellent	ME, S, S														Herbicide, Insect-Repellent
Separate conames		126	Herbicide, Insecticide	ME, S, S														Herbicide, Insecticide
Separate conames		129	Hypothermic, Insecticide	ME, S, S														Hypothermic, Insecticide
Separate conames		134	Insectifuge, Irritant	ME, S, S														Insectifuge, Irritant
DATA ERROR:		138	L. Braziliensis	F									DATA ERROR: looks like a plant name, What does the L stand for?					L. Braziliensis
Separate conames		140	Larvicide, Motor-Depressant	ME, S, S														Larvicide, Motor-Depressant
DATA ERROR:		201	lipid anchor in biomembranes	F									DATA ERROR: Explain? What does this DO to lipid anchors? Helps lipids cross the memprane? Trans-membrane enhancer?					lipid anchor in biomembranes
DATA ERROR		145	NA										DATA ERROR: why NA?					NA
Separate conames		148	Nematicide, Ornithine-Decarboxylase Inhibitor	ME, S, S						The enzyme Ornithine decarboxylase (ODC) catalyzes the conversion of ornithine to putrescine, the first and rate-limiting step in the synthesis of putrescine and of the polyamines spermidine and spermine (Bacchi et al., 1980). It catalyzes the decarboxylation of ornithine (a product of the urea cycle) to form putrescine. This reaction is the committed step in polyamine synthesis.[1] In humans, this protein has 461 amino acids and forms a homodimer.			comma or no? Two things, or one thing?					Nematicide, Ornithine-Decarboxylase Inhibitor
Separate conames		155	Perfumery, Pesticide	ME, S, S														Perfumery, Pesticide
Unknown. Ask Gita whether to delete		204	Pungency	F						Definition of pungent  1 : sharply painful 2 : having a stiff and sharp point pungent leaves 3a : marked by a sharp incisive quality : caustic a pungent critic pungent language b : being sharp and to the point 4a : causing a sharp or irritating sensation especially : acrid b : having an intense flavor or odor a pungent chili 			So vague, it's meaningless.  Suggest DELETE Definition of pungent  1 : sharply painful 2 : having a stiff and sharp point pungent leaves 3a : marked by a sharp incisive quality : caustic a pungent critic pungent language b : being sharp and to the point 4a : causing a sharp or irritating sensation especially : acrid b : having an intense flavor or odor a pungent chili 					Pungency
Separate conames		164	Respirastimulant, Rubefacient	ME, S, F														Respirastimulant, Rubefacient
DATA ERROR		205	secreted by insect for defence	F									DATA ERROR					secreted by insect for defence
Separate conames		166	Sedative, Teratogenic	ME, S, S									two things or one					Sedative, Teratogenic
Separate conames		207	Skin healing properties, Anti-irritant	ME, F, F														Skin healing properties, Anti-irritant
Separate conames		176	Trichomonistat, Trypsin-Enhancer	ME, S, S														Trichomonistat, Trypsin-Enhancer
DATA ERROR		209	under testing as a skin penetration enhancer for the transdermal delivery of therapeutic drugs	F									DATA ERROR					under testing as a skin penetration enhancer for the transdermal delivery of therapeutic drugs
DATA ERROR		210	used in manufacture of MDMA(ecstasy)	F									DATA ERROR					used in manufacture of MDMA(ecstasy)
DATA ERROR		211	used in traditional chinese medicine	F									DATA ERROR					used in traditional chinese medicine
Separate conames		181	Vasodilator, Vermifuge	ME, S, S														Vasodilator, Vermifuge
DATA ERROR		213	was evaluated against Leishmania species. Nerolidol inhibited the growth of Leishmania amazonensis	F									DATA ERROR					was evaluated against Leishmania species. Nerolidol inhibited the growth of Leishmania amazonensis
